Millis,INA260 Current (mA),INA260 Voltage (mV),INA260 Power (mW),PicoTemp Temp (C),MTK3339 Year,MTK3339 Month,MTK3339 Day,MTK3339 Hour,MTK3339 Minute,MTK3339 Second,MTK3339 Latitude,MTK3339 Longitude,MTK3339 Speed,MTK3339 Heading,MTK3339 Altitude,MTK3339 Satellites,ICM20948 AccX (g),ICM20948 AccY (g),ICM20948 AccZ (g),ICM20948 GyroX (deg/s),ICM20948 GyroY (deg/s),ICM20948 GyroZ (deg/s),ICM20948 MagX (uT),ICM20948 MagY (uT),ICM20948 MagZ (uT),ICM20948 Temp (C),PCF8523 Year,PCF8523 Month,PCF8523 Day,PCF8523 Hour,PCF8523 Minute,PCF8523 Second,TMP117 Temp (C),UV_Sensor_O UVA2 (nm),UV_Sensor_O UVB2 (nm),UV_Sensor_O UVC2 (nm),ENS160_O AQI,ENS160_O TVOC (ppb),ENS160_O eCO2 (ppm),BMP390_O Temp (C),BMP390_O Pressure (Pa),BMP390_O Altitude (m),TMP117_O Temp_O (C),SHTC3_O Temp (C),SHTC3_O Rel Hum (%),Ozone Conc (ppb),Analog_Temp_0 ADC_val
456401,1030.0,3233.75,3330.0,21.988948822021484,,,,,,,,,,,,,9.983820915222168,-1.0438719987869263,0.4884171485900879,-1.0296378135681152,-0.03671576827764511,-0.12398222833871841,-38.400001525878906,-34.349998474121094,9.75,215.80636596679688,,,,,,,,0.0,0.0,0.0,,,,,,,,13.390000343322754,28.920000076293945,,685
456934,,,,,,,,,,,,,,,,,9.859322547912598,-0.49799394607543945,0.014365210197865963,-0.9902614951133728,0.034055206924676895,-0.14473462104797363,-38.54999923706055,-18.299999237060547,3.75,215.71051025390625,2001,3,0,0,2,20,,0.0,0.0,0.0,,,,,,,,13.239999771118164,28.90999984741211,,685
457465,732.5,3382.5,2480.0,23.861492156982422,,,,,,,,,,,,,9.485827445983887,0.3447650372982025,0.6416460275650024,-0.796040415763855,0.04522957280278206,-0.06598196178674698,-38.400001525878906,-4.5,8.699999809265137,215.90220642089844,,,,,,,,0.0,0.0,0.0,,,,,,,,13.109999656677246,28.81999969482422,,688
457997,,,,,2025,12,6,17,9,13,33.07468032836914,-111.96788787841797,7419.0,13913116.0,2357716.0,26,9.8784761428833,0.42616790533065796,0.9241618514060974,0.23625798523426056,0.1037619560956955,-0.04469745606184006,-38.400001525878906,2.700000047683716,20.399999618530273,215.75843811035156,2001,3,0,0,2,20,,0.0,0.0,0.0,,,,,,,,13.180000305175781,28.81999969482422,,684
459450,992.5,3242.5,3210.0,22.925203323364258,,,,,,,,,,,,,9.787496566772461,0.24899697303771973,0.090979665517807,0.2069917917251587,0.08194534480571747,-0.001064225216396153,-40.349998474121094,1.0499999523162842,20.399999618530273,215.90220642089844,,,,,,,,0.0,0.0,0.0,,,,,,,,13.140000343322754,28.850000381469727,,682
459983,,,,,,,,,,,,,,,,,9.658209800720215,0.9193734526634216,0.1388636976480484,0.0691746324300766,0.015963377431035042,0.054807595908641815,-40.79999923706055,-0.15000000596046448,19.049999237060547,215.75843811035156,2001,3,0,0,2,20,,0.0,0.0,0.0,,,,,,,,13.039999961853027,28.8700008392334,,689
460514,982.5,3257.5,3200.0,24.329635620117188,,,,,,,,,,,,,9.193734169006348,0.4596867263317108,0.45489832758903503,0.023412954062223434,-0.03990844264626503,0.01383492723107338,-40.79999923706055,0.44999998807907104,18.450000762939453,215.80636596679688,,,,,,,,0.0,0.0,0.0,,,,,,,,12.989999771118164,28.8799991607666,,685
461046,,,,,2025,12,6,17,9,16,33.07450485229492,-111.96780395507812,7542.0,16947376.0,2376919.0,26,10.204087257385254,1.4652514457702637,0.8236053586006165,1.036555290222168,0.025541404262185097,0.13409237563610077,-41.70000076293945,-13.5,9.75,215.998046875,2001,3,0,0,2,20,,0.0,0.0,0.0,,,,,,,,12.84000015258789,28.979999542236328,,686
462395,1042.5,3231.25,3370.0,24.329635620117188,,,,,,,,,,,,,9.672574996948242,1.2689268589019775,-0.5554547905921936,1.3685935735702515,0.16921178996562958,0.15271630883216858,-42.0,-27.899999618530273,15.449999809265137,216.14181518554688,,,,,,,,0.0,0.0,0.0,,,,,,,,12.869999885559082,29.030000686645508,,686
462928,,,,,,,,,,,,,,,,,9.615114212036133,0.33039984107017517,0.20111294090747833,1.7048887014389038,0.23412954807281494,0.11440420895814896,-41.099998474121094,-36.599998474121094,32.400001525878906,215.75843811035156,2001,3,0,0,2,20,,0.0,0.0,0.0,,,,,,,,13.050000190734863,29.059999465942383,,685
463459,1000.0,3248.75,3240.0,20.584518432617188,,,,,,,,,,,,,9.911994934082031,0.608127236366272,0.35913026332855225,2.1300466060638428,0.18357884883880615,0.04203689470887184,-37.95000076293945,-22.200000762939453,51.599998474121094,215.75843811035156,,,,,,,,0.0,0.0,0.0,,,,,,,,13.100000381469727,29.100000381469727,,687
463991,,,,,2025,12,6,17,9,19,33.07427978515625,-111.96772003173828,9491.0,15172380.0,2395489.0,26,9.715670585632324,-0.1628057211637497,-0.751779317855835,1.3829606771469116,0.16548702120780945,-0.052679143846035004,-37.349998474121094,3.0,14.850000381469727,215.90220642089844,2001,3,0,0,2,20,,0.0,0.0,0.0,,,,,,,,13.119999885559082,29.200000762939453,,684
465441,1008.75,3241.25,3260.0,23.861492156982422,,,,,,,,,,,,,9.835380554199219,-0.2298433631658554,-0.5410895943641663,1.1647944450378418,0.12717489898204803,-0.07928477972745895,-38.099998474121094,-10.050000190734863,5.099999904632568,215.90220642089844,,,,,,,,0.0,0.0,0.0,,,,,,,,13.050000190734863,29.139999389648438,,682
465974,,,,,,,,,,,,,,,,,9.979032516479492,-0.17238251864910126,-0.21547815203666687,0.880646288394928,0.025009291246533394,-0.13036759197711945,-37.349998474121094,-20.100000381469727,4.349999904632568,215.998046875,2001,3,0,0,2,20,,0.0,0.0,0.0,,,,,,,,12.869999885559082,29.1299991607666,,691
466505,761.25,3380.0,2500.0,23.861492156982422,,,,,,,,,,,,,10.146626472473145,-0.31124621629714966,0.363918662071228,0.5895807147026062,-0.08141322433948517,-0.20645968616008759,-38.25,-27.149999618530273,7.050000190734863,215.90220642089844,,,,,,,,0.0,0.0,0.0,,,,,,,,12.869999885559082,29.100000381469727,,686
467037,,,,,2025,12,6,17,9,22,33.074073791503906,-111.96757507324219,7846.0,15714058.0,2414791.0,25,9.77791976928711,0.2777273952960968,-0.8810662031173706,0.2288084179162979,0.04044055566191673,-0.14526672661304474,-38.400001525878906,-30.450000762939453,9.449999809265137,215.75843811035156,2001,3,0,0,2,20,,0.0,0.0,0.0,,,,,,,,12.9399995803833,29.030000686645508,,684
468488,982.5,3253.75,3200.0,23.861492156982422,,,,,,,,,,,,,9.854534149169922,0.727837324142456,-0.8619126081466675,0.12025744467973709,0.16389068961143494,-0.061725057661533356,-40.5,-31.049999237060547,12.899999618530273,215.90220642089844,,,,,,,,0.0,0.0,0.0,,,,,,,,12.920000076293945,28.979999542236328,,683
469021,,,,,,,,,,,,,,,,,9.524134635925293,1.3982137441635132,-0.933738648891449,-0.2735058665275574,0.16389068961143494,-0.044165343046188354,-41.54999923706055,-27.600000381469727,13.649999618530273,215.4709014892578,2001,3,0,0,2,20,,0.0,0.0,0.0,,,,,,,,12.970000267028809,28.959999084472656,,686
